Location,Year,Month,Estimated_Score,ALLSKY_SFC_SW_DWN,GWETROOT,PRECTOTCORR,T2M,WS2M,ALLSKY_SFC_SW_DWN_lag1,ALLSKY_SFC_SW_DWN_lag2,ALLSKY_SFC_SW_DWN_lag3,ALLSKY_SFC_SW_DWN_lag6,GWETROOT_lag1,GWETROOT_lag2,GWETROOT_lag3,GWETROOT_lag6,PRECTOTCORR_lag1,PRECTOTCORR_lag2,PRECTOTCORR_lag3,PRECTOTCORR_lag6,T2M_lag1,T2M_lag2,T2M_lag3,T2M_lag6,WS2M_lag1,WS2M_lag2,WS2M_lag3,WS2M_lag6,ALLSKY_SFC_SW_DWN_roll3,ALLSKY_SFC_SW_DWN_roll6,GWETROOT_roll3,GWETROOT_roll6,PRECTOTCORR_roll3,PRECTOTCORR_roll6,T2M_roll3,T2M_roll6,WS2M_roll3,WS2M_roll6,precip_temp_interaction,Month_sin,Month_cos,Year_normalized,Location_encoded
Carrizo Plain,2021,7,0.5408,28.32,0.49,0.01,26.32,1.96,30.61,29.96,26.1,10.29,0.5,0.5,0.53,0.55,0.0,0.01,0.08,3.07,23.24,18.29,14.33,9.43,2.6,2.5,2.31,2.45,29.63,25.13166666666667,0.49666666666666665,0.54,0.0066666666666668145,0.17500000000000002,22.616666666666664,16.825,2.3533333333333335,2.3383333333333334,0.2632,-0.4999999999999998,-0.8660254037844388,0.2,0
Carrizo Plain,2021,8,0.539,26.16,0.49,0.01,24.95,1.82,28.32,30.61,29.96,15.83,0.49,0.5,0.5,0.63,0.01,0.0,0.01,0.1,26.32,23.24,18.29,9.24,1.96,2.6,2.5,2.39,28.363333333333333,26.853333333333335,0.49333333333333335,0.5166666666666667,0.0066666666666668145,0.16,24.836666666666662,19.44333333333333,2.1266666666666665,2.2433333333333336,0.2495,-0.8660254037844384,-0.5000000000000004,0.2,0
Carrizo Plain,2021,9,0.5383,21.87,0.49,0.0,22.65,1.78,26.16,28.32,30.61,19.97,0.49,0.49,0.5,0.59,0.01,0.01,0.0,0.85,24.95,26.32,23.24,9.53,1.82,1.96,2.6,2.27,25.45,27.169999999999998,0.49,0.5,0.0066666666666668145,0.018333333333333333,24.64,21.63,1.8533333333333335,2.1616666666666666,0.0,-1.0,-1.8369701987210297e-16,0.2,0
Carrizo Plain,2021,10,0.5376,16.35,0.51,1.16,16.0,2.27,21.87,26.16,28.32,26.1,0.49,0.49,0.49,0.53,0.0,0.01,0.01,0.08,22.65,24.95,26.32,14.33,1.78,1.82,1.96,2.31,21.459999999999997,25.545,0.49666666666666665,0.49666666666666665,0.3900000000000001,0.19833333333333333,21.2,21.90833333333333,1.9566666666666668,2.155,18.56,-0.8660254037844386,0.5000000000000001,0.2,0
Carrizo Plain,2021,11,0.5358,11.5,0.52,0.08,14.13,1.86,16.35,21.87,26.16,29.96,0.51,0.49,0.49,0.5,1.16,0.0,0.01,0.01,16.0,22.65,24.95,18.29,2.27,1.78,1.82,2.5,16.573333333333334,22.468333333333334,0.5066666666666667,0.5,0.4133333333333335,0.21,17.593333333333334,21.215,1.97,2.0483333333333333,1.1304,-0.5000000000000004,0.8660254037844384,0.2,0
Carrizo Plain,2021,12,0.5361,7.66,0.59,4.69,8.46,2.23,11.5,16.35,21.87,30.61,0.52,0.51,0.49,0.5,0.08,1.16,0.0,0.0,14.13,16.0,22.65,23.24,1.86,2.27,1.78,2.6,11.836666666666668,18.643333333333334,0.54,0.515,1.9766666666666668,0.9916666666666667,12.863333333333335,18.751666666666665,2.12,1.986666666666667,39.677400000000006,-2.4492935982947064e-16,1.0,0.2,0
Carrizo Plain,2022,1,0.5388,10.69,0.68,0.09,9.08,1.81,7.66,11.5,16.35,28.32,0.59,0.52,0.51,0.49,4.69,0.08,1.16,0.01,8.46,14.13,16.0,26.32,2.23,1.86,2.27,1.96,9.950000000000001,15.705,0.5966666666666667,0.5466666666666666,1.62,1.0050000000000001,10.556666666666667,15.878333333333336,1.9666666666666668,1.9616666666666667,0.8171999999999999,0.49999999999999994,0.8660254037844387,0.4,0
Carrizo Plain,2022,2,0.5499,15.79,0.62,0.07,10.26,1.92,10.69,7.66,11.5,26.16,0.68,0.59,0.52,0.49,0.09,4.69,0.08,0.01,9.08,8.46,14.13,24.95,1.81,2.23,1.86,1.82,11.38,13.976666666666667,0.63,0.5683333333333334,1.616666666666667,1.0150000000000001,9.266666666666666,13.43,1.9866666666666664,1.9783333333333333,0.7182000000000001,0.8660254037844386,0.5000000000000001,0.4,0
Carrizo Plain,2022,3,0.571,19.86,0.56,1.02,12.57,2.37,15.79,10.69,7.66,21.87,0.62,0.68,0.59,0.49,0.07,0.09,4.69,0.0,10.26,9.08,8.46,22.65,1.92,1.81,2.23,1.78,15.446666666666667,13.641666666666666,0.6200000000000001,0.58,0.3933333333333333,1.185,10.636666666666665,11.75,2.033333333333333,2.0766666666666667,12.8214,1.0,6.123233995736766e-17,0.4,0
Carrizo Plain,2022,4,0.5635,25.49,0.54,0.29,14.23,2.76,19.86,15.79,10.69,16.35,0.56,0.62,0.68,0.51,1.02,0.07,0.09,1.16,12.57,10.26,9.08,16.0,2.37,1.92,1.81,2.27,20.38,15.165000000000001,0.5733333333333334,0.5850000000000001,0.45999999999999996,1.04,12.353333333333333,11.455,2.3499999999999996,2.1583333333333337,4.1267,0.8660254037844387,-0.49999999999999983,0.4,0
Carrizo Plain,2022,5,0.5481,29.74,0.5,0.0,18.11,2.76,25.49,19.86,15.79,11.5,0.54,0.56,0.62,0.52,0.29,1.02,0.07,0.08,14.23,12.57,10.26,14.13,2.76,2.37,1.92,1.86,25.03,18.205000000000002,0.5333333333333333,0.5816666666666667,0.4366666666666667,1.0266666666666666,14.97,12.118333333333334,2.6299999999999994,2.308333333333333,0.0,0.49999999999999994,-0.8660254037844387,0.4,0
Carrizo Plain,2022,6,0.5422,30.44,0.5,0.01,23.86,2.47,29.74,25.49,19.86,7.66,0.5,0.54,0.56,0.59,0.0,0.29,1.02,4.69,18.11,14.23,12.57,8.46,2.76,2.76,2.37,2.23,28.55666666666667,22.001666666666665,0.5133333333333333,0.5666666666666668,0.09999999999999999,0.24666666666666667,18.733333333333334,14.685000000000002,2.6633333333333336,2.348333333333333,0.2386,1.2246467991473532e-16,-1.0,0.4,0
Carrizo Plain,2022,7,0.5398,29.26,0.49,0.01,25.2,2.09,30.44,29.74,25.49,10.69,0.5,0.5,0.54,0.68,0.01,0.0,0.29,0.09,23.86,18.11,14.23,9.08,2.47,2.76,2.76,1.81,29.813333333333336,25.096666666666664,0.4966666666666666,0.535,0.006666666666666667,0.2333333333333333,22.39,17.371666666666666,2.44,2.395,0.252,-0.4999999999999998,-0.8660254037844388,0.4,0
Carrizo Plain,2022,8,0.5385,26.56,0.49,0.0,26.07,1.98,29.26,30.44,29.74,15.79,0.49,0.5,0.5,0.62,0.01,0.01,0.0,0.07,25.2,23.86,18.11,10.26,2.09,2.47,2.76,1.92,28.753333333333334,26.891666666666666,0.49333333333333335,0.5133333333333333,0.006666666666666667,0.22166666666666668,25.043333333333333,20.006666666666668,2.18,2.405,0.0,-0.8660254037844384,-0.5000000000000004,0.4,0
Carrizo Plain,2022,9,0.538,21.53,0.5,0.7,24.14,1.98,26.56,29.26,30.44,19.86,0.49,0.49,0.5,0.56,0.0,0.01,0.01,1.02,26.07,25.2,23.86,12.57,1.98,2.09,2.47,2.37,25.783333333333335,27.169999999999998,0.49333333333333335,0.5033333333333333,0.23666666666666666,0.1683333333333333,25.136666666666667,21.935,2.0166666666666666,2.34,16.898,-1.0,-1.8369701987210297e-16,0.4,0
Carrizo Plain,2022,10,0.5371,17.24,0.5,0.02,19.09,1.57,21.53,26.56,29.26,25.49,0.5,0.49,0.49,0.54,0.7,0.0,0.01,0.29,24.14,26.07,25.2,14.23,1.98,1.98,2.09,2.76,21.776666666666667,25.795,0.49666666666666665,0.49666666666666665,0.24,0.12333333333333331,23.099999999999998,22.745,1.8433333333333335,2.1416666666666666,0.38180000000000003,-0.8660254037844386,0.5000000000000001,0.4,0
Carrizo Plain,2022,11,0.536,12.4,0.53,1.05,9.86,2.15,17.24,21.53,26.56,29.74,0.5,0.5,0.49,0.5,0.02,0.7,0.0,0.0,19.09,24.14,26.07,18.11,1.57,1.98,1.98,2.76,17.05666666666667,22.905,0.51,0.5016666666666666,0.59,0.29833333333333334,17.69666666666667,21.37,1.8999999999999997,2.0399999999999996,10.353,-0.5000000000000004,0.8660254037844384,0.4,0
Carrizo Plain,2022,12,0.5365,7.32,0.61,4.56,8.66,2.09,12.4,17.24,21.53,30.44,0.53,0.5,0.5,0.5,1.05,0.02,0.7,0.01,9.86,19.09,24.14,23.86,2.15,1.57,1.98,2.47,12.32,19.051666666666666,0.5466666666666667,0.52,1.8766666666666667,1.0566666666666666,12.536666666666667,18.83666666666667,1.9366666666666665,1.9766666666666666,39.489599999999996,-2.4492935982947064e-16,1.0,0.4,0
Carrizo Plain,2023,1,0.5401,9.47,0.85,6.91,7.43,2.69,7.32,12.4,17.24,29.26,0.61,0.53,0.5,0.49,4.56,1.05,0.02,0.01,8.66,9.86,19.09,25.2,2.09,2.15,1.57,2.09,9.730000000000002,15.753333333333332,0.6633333333333333,0.58,4.173333333333333,2.2066666666666666,8.65,15.875,2.31,2.0766666666666667,51.3413,0.49999999999999994,0.8660254037844387,0.6,0
Carrizo Plain,2023,2,0.6255,13.82,0.86,4.03,7.0,2.49,9.47,7.32,12.4,26.56,0.85,0.61,0.53,0.49,6.91,4.56,1.05,0.0,7.43,8.66,9.86,26.07,2.69,2.09,2.15,1.98,10.203333333333335,13.63,0.7733333333333333,0.6416666666666666,5.166666666666667,2.8783333333333334,7.696666666666666,12.696666666666665,2.4233333333333333,2.1616666666666666,28.21,0.8660254037844386,0.5000000000000001,0.6,0
