Location,Year,Month,Estimated_Score,ALLSKY_SFC_SW_DWN,GWETROOT,PRECTOTCORR,T2M,WS2M,ALLSKY_SFC_SW_DWN_lag1,ALLSKY_SFC_SW_DWN_lag2,ALLSKY_SFC_SW_DWN_lag3,ALLSKY_SFC_SW_DWN_lag6,GWETROOT_lag1,GWETROOT_lag2,GWETROOT_lag3,GWETROOT_lag6,PRECTOTCORR_lag1,PRECTOTCORR_lag2,PRECTOTCORR_lag3,PRECTOTCORR_lag6,T2M_lag1,T2M_lag2,T2M_lag3,T2M_lag6,WS2M_lag1,WS2M_lag2,WS2M_lag3,WS2M_lag6,ALLSKY_SFC_SW_DWN_roll3,ALLSKY_SFC_SW_DWN_roll6,GWETROOT_roll3,GWETROOT_roll6,PRECTOTCORR_roll3,PRECTOTCORR_roll6,T2M_roll3,T2M_roll6,WS2M_roll3,WS2M_roll6,precip_temp_interaction,Month_sin,Month_cos,Year_normalized,Location_encoded
Carrizo Plain,2024,11,0.5372,11.45,0.51,1.17,11.29,2.21,16.76,22.54,26.67,29.29,0.49,0.49,0.49,0.61,0.0,0.04,0.01,0.11,20.78,23.03,25.53,16.03,1.74,1.84,2.0,2.17,16.916666666666668,22.793333333333333,0.49666666666666665,0.49666666666666665,0.4033333333333333,0.205,18.366666666666667,21.923333333333332,1.93,1.9866666666666666,13.209299999999999,-0.5000000000000004,0.8660254037844384,0.8,0
Carrizo Plain,2024,12,0.5379,8.81,0.53,0.33,11.01,2.01,11.45,16.76,22.54,30.38,0.51,0.49,0.49,0.51,1.17,0.0,0.04,0.01,11.29,20.78,23.03,23.12,2.21,1.74,1.84,2.26,12.340000000000002,19.198333333333334,0.51,0.5,0.5,0.25833333333333336,14.359999999999998,19.905,1.9866666666666666,1.945,3.6333,-2.4492935982947064e-16,1.0,0.8,0
Carrizo Plain,2025,1,0.538,12.03,0.52,0.23,8.92,2.0,8.81,11.45,16.76,28.96,0.53,0.51,0.49,0.49,0.33,1.17,0.0,0.0,11.01,11.29,20.78,27.79,2.01,2.21,1.74,1.87,10.763333333333335,16.376666666666665,0.52,0.505,0.5766666666666667,0.2966666666666667,10.406666666666665,16.76,2.0733333333333333,1.9666666666666668,2.0516,0.49999999999999994,0.8660254037844387,1.0,0
Carrizo Plain,2025,2,0.5755,13.76,0.58,2.71,10.77,2.65,12.03,8.81,11.45,26.67,0.52,0.53,0.51,0.49,0.23,0.33,1.17,0.01,8.92,11.01,11.29,25.53,2.0,2.01,2.21,2.0,11.533333333333333,14.225,0.5433333333333333,0.5199999999999999,1.09,0.7466666666666667,10.233333333333333,14.299999999999999,2.22,2.075,29.1867,0.8660254037844386,0.5000000000000001,1.0,0
Carrizo Plain,2025,3,0.6491,17.95,0.61,2.14,10.21,2.74,13.76,12.03,8.81,22.54,0.58,0.52,0.53,0.49,2.71,0.23,0.33,0.04,10.77,8.92,11.01,23.03,2.65,2.0,2.01,1.84,14.58,13.46,0.57,0.54,1.6933333333333334,1.0966666666666667,9.966666666666667,12.163333333333332,2.4633333333333334,2.225,21.849400000000003,1.0,6.123233995736766e-17,1.0,0
Carrizo Plain,2025,4,0.6883,22.85,0.57,0.37,13.68,2.1,17.95,13.76,12.03,16.76,0.61,0.58,0.52,0.49,2.14,2.71,0.23,0.0,10.21,10.77,8.92,20.78,2.74,2.65,2.0,1.74,18.186666666666667,14.475,0.5866666666666666,0.5533333333333333,1.7400000000000002,1.1583333333333334,11.553333333333333,10.979999999999999,2.4966666666666666,2.2849999999999997,5.061599999999999,0.8660254037844387,-0.49999999999999983,1.0,0
Carrizo Plain,2025,5,0.5899,28.32,0.52,0.07,18.46,2.28,22.85,17.95,13.76,11.45,0.57,0.61,0.58,0.51,0.37,2.14,2.71,1.17,13.68,10.21,10.77,11.29,2.1,2.74,2.65,2.21,23.040000000000003,17.286666666666665,0.5666666666666665,0.555,0.86,0.9750000000000001,14.116666666666665,12.175000000000002,2.373333333333333,2.2966666666666664,1.2922000000000002,0.49999999999999994,-0.8660254037844387,1.0,0
Carrizo Plain,2025,6,0.549,-999.0,0.5,0.01,22.69,2.29,28.32,22.85,17.95,8.81,0.52,0.57,0.61,0.53,0.07,0.37,2.14,0.33,18.46,13.68,10.21,11.01,2.28,2.1,2.74,2.01,-315.9433333333333,-150.68166666666667,0.5299999999999999,0.5499999999999999,0.15,0.9216666666666667,18.276666666666667,14.121666666666668,2.223333333333333,2.3433333333333333,0.22690000000000002,1.2246467991473532e-16,-1.0,1.0,0
Carrizo Plain,2025,7,0.5418,-999.0,0.49,0.01,23.05,2.04,-999.0,28.32,22.85,12.03,0.5,0.52,0.57,0.52,0.01,0.07,0.37,0.23,22.69,18.46,13.68,8.92,2.29,2.28,2.1,2.0,-656.5600000000001,-319.18666666666667,0.5033333333333334,0.545,0.030000000000000002,0.8850000000000001,21.400000000000002,16.476666666666667,2.203333333333333,2.35,0.2305,-0.4999999999999998,-0.8660254037844388,1.0,0
Carrizo Plain,2025,8,0.5395,-999.0,0.49,0.0,25.05,1.95,-999.0,-999.0,28.32,13.76,0.49,0.5,0.52,0.58,0.01,0.01,0.07,2.71,23.05,22.69,18.46,10.77,2.04,2.29,2.28,2.65,-999.0,-487.98,0.49333333333333335,0.53,0.006666666666666667,0.43333333333333335,23.596666666666664,18.856666666666666,2.0933333333333333,2.2333333333333334,0.0,-0.8660254037844384,-0.5000000000000004,1.0,0
Antelope Valley,2020,7,0.5391,30.59,0.37,0.0,25.57,2.29,28.72,28.83,21.72,12.04,0.41,0.5,0.62,0.57,0.02,0.11,2.78,0.17,21.78,18.97,14.23,8.5,2.39,2.28,2.37,2.14,29.38,23.741666666666664,0.4266666666666667,0.49500000000000005,0.043333333333333335,1.0466666666666666,22.106666666666666,16.883333333333333,2.32,2.3033333333333332,0.0,-0.4999999999999998,-0.8660254037844388,0.0,1
Antelope Valley,2020,8,0.5365,25.98,0.37,0.04,27.82,2.1,30.59,28.72,28.83,16.57,0.37,0.41,0.5,0.52,0.0,0.02,0.11,0.12,25.57,21.78,18.97,10.8,2.29,2.39,2.28,2.2,28.430000000000003,25.31,0.3833333333333333,0.47000000000000003,0.02,1.0333333333333334,25.05666666666667,19.720000000000002,2.2600000000000002,2.2866666666666666,1.1128,-0.8660254037844384,-0.5000000000000004,0.0,1
Antelope Valley,2020,9,0.5377,21.84,0.37,0.0,25.95,1.74,25.98,30.59,28.72,16.02,0.37,0.37,0.41,0.55,0.04,0.0,0.02,3.25,27.82,25.57,21.78,9.95,2.1,2.29,2.39,2.29,26.136666666666667,26.279999999999998,0.37,0.43999999999999995,0.01333333333333333,0.49166666666666664,26.44666666666667,22.386666666666667,2.0433333333333334,2.195,0.0,-1.0,-1.8369701987210297e-16,0.0,1
Antelope Valley,2020,10,0.5342,17.34,0.37,0.0,20.86,1.85,21.84,25.98,30.59,21.72,0.37,0.37,0.37,0.62,0.0,0.04,0.0,2.78,25.95,27.82,25.57,14.23,1.74,2.1,2.29,2.37,21.72,25.549999999999997,0.37,0.39833333333333326,0.01333333333333333,0.028333333333333332,24.876666666666665,23.491666666666664,1.8966666666666667,2.1083333333333334,0.0,-0.8660254037844386,0.5000000000000001,0.0,1
Antelope Valley,2020,11,0.5311,13.5,0.38,0.24,12.85,2.07,17.34,21.84,25.98,28.83,0.37,0.37,0.37,0.5,0.0,0.0,0.04,0.11,20.86,25.95,27.82,18.97,1.85,1.74,2.1,2.28,17.56,22.995,0.37333333333333335,0.37833333333333335,0.08,0.049999999999999996,19.886666666666667,22.471666666666664,1.8866666666666667,2.0733333333333337,3.0839999999999996,-0.5000000000000004,0.8660254037844384,0.0,1
Antelope Valley,2020,12,0.533,10.81,0.38,0.83,9.27,2.52,13.5,17.34,21.84,28.72,0.38,0.37,0.37,0.41,0.24,0.0,0.0,0.02,12.85,20.86,25.95,21.78,2.07,1.85,1.74,2.39,13.883333333333333,20.01,0.37666666666666665,0.37333333333333335,0.35666666666666663,0.18499999999999997,14.326666666666666,20.386666666666667,2.1466666666666665,2.095,7.6941,-2.4492935982947064e-16,1.0,0.0,1
Antelope Valley,2021,1,0.5309,11.52,0.41,1.29,8.78,2.63,10.81,13.5,17.34,30.59,0.38,0.38,0.37,0.37,0.83,0.24,0.0,0.0,9.27,12.85,20.86,25.57,2.52,2.07,1.85,2.29,11.943333333333333,16.831666666666667,0.38999999999999996,0.37999999999999995,0.7866666666666666,0.39999999999999997,10.299999999999999,17.588333333333335,2.4066666666666667,2.151666666666667,11.3262,0.49999999999999994,0.8660254037844387,0.2,1
Antelope Valley,2021,2,0.5512,16.7,0.44,0.06,9.63,2.52,11.52,10.81,13.5,25.98,0.41,0.38,0.38,0.37,1.29,0.83,0.24,0.04,8.78,9.27,12.85,27.82,2.63,2.52,2.07,2.1,13.01,15.284999999999998,0.41,0.39166666666666666,0.7266666666666667,0.4033333333333333,9.226666666666667,14.556666666666665,2.5566666666666666,2.2216666666666667,0.5778,0.8660254037844386,0.5000000000000001,0.2,1
Antelope Valley,2021,3,0.5733,20.31,0.43,0.69,10.02,2.26,16.7,11.52,10.81,21.84,0.44,0.41,0.38,0.37,0.06,1.29,0.83,0.0,9.63,8.78,9.27,25.95,2.52,2.63,2.52,1.74,16.176666666666666,15.030000000000001,0.4266666666666667,0.40166666666666667,0.68,0.5183333333333333,9.476666666666667,11.901666666666666,2.47,2.308333333333333,6.913799999999999,1.0,6.123233995736766e-17,0.2,1
Antelope Valley,2021,4,0.5801,25.22,0.4,0.06,16.0,2.33,20.31,16.7,11.52,17.34,0.43,0.44,0.41,0.37,0.69,0.06,1.29,0.0,10.02,9.63,8.78,20.86,2.26,2.52,2.63,1.85,20.743333333333336,16.343333333333334,0.42333333333333334,0.4066666666666667,0.27,0.5283333333333333,11.883333333333333,11.091666666666667,2.3699999999999997,2.388333333333333,0.96,0.8660254037844387,-0.49999999999999983,0.2,1
Antelope Valley,2021,5,0.5584,28.45,0.37,0.02,19.17,2.27,25.22,20.31,16.7,13.5,0.4,0.43,0.44,0.38,0.06,0.69,0.06,0.24,16.0,10.02,9.63,12.85,2.33,2.26,2.52,2.07,24.659999999999997,18.834999999999997,0.4000000000000001,0.40499999999999997,0.25666666666666665,0.4916666666666667,15.063333333333333,12.145000000000001,2.2866666666666666,2.4216666666666664,0.3834,0.49999999999999994,-0.8660254037844387,0.2,1
Antelope Valley,2021,6,0.5402,29.67,0.37,0.01,25.58,2.33,28.45,25.22,20.31,10.81,0.37,0.4,0.43,0.38,0.02,0.06,0.69,0.83,19.17,16.0,10.02,9.27,2.27,2.33,2.26,2.52,27.78,21.978333333333335,0.38000000000000006,0.4033333333333333,0.03,0.355,20.25,14.863333333333335,2.31,2.39,0.25579999999999997,1.2246467991473532e-16,-1.0,0.2,1
Antelope Valley,2021,7,0.5385,27.7,0.37,0.07,28.23,2.25,29.67,28.45,25.22,11.52,0.37,0.37,0.4,0.41,0.01,0.02,0.06,1.29,25.58,19.17,16.0,8.78,2.33,2.27,2.33,2.63,28.606666666666666,24.675,0.37,0.39666666666666667,0.03333333333333333,0.15166666666666667,24.326666666666668,18.105,2.283333333333333,2.3266666666666667,1.9761000000000002,-0.4999999999999998,-0.8660254037844388,0.2,1
Antelope Valley,2021,8,0.536,25.75,0.37,0.02,26.74,2.2,27.7,29.67,28.45,16.7,0.37,0.37,0.37,0.44,0.07,0.01,0.02,0.06,28.23,25.58,19.17,9.63,2.25,2.33,2.27,2.52,27.706666666666667,26.183333333333337,0.37,0.385,0.03333333333333333,0.14500000000000002,26.849999999999998,20.956666666666667,2.2600000000000002,2.2733333333333334,0.5347999999999999,-0.8660254037844384,-0.5000000000000004,0.2,1
Antelope Valley,2021,9,0.5371,22.23,0.37,0.05,24.2,2.01,25.75,27.7,29.67,20.31,0.37,0.37,0.37,0.43,0.02,0.07,0.01,0.69,26.74,28.23,25.58,10.02,2.2,2.25,2.33,2.26,25.22666666666667,26.503333333333334,0.37,0.375,0.04666666666666667,0.03833333333333335,26.39,23.319999999999997,2.153333333333333,2.231666666666667,1.21,-1.0,-1.8369701987210297e-16,0.2,1
Antelope Valley,2021,10,0.5355,16.92,0.38,0.64,16.4,2.09,22.23,25.75,27.7,25.22,0.37,0.37,0.37,0.4,0.05,0.02,0.07,0.06,24.2,26.74,28.23,16.0,2.01,2.2,2.25,2.33,21.633333333333336,25.120000000000005,0.37333333333333335,0.37166666666666665,0.23666666666666666,0.13500000000000004,22.446666666666662,23.386666666666667,2.0999999999999996,2.191666666666667,10.495999999999999,-0.8660254037844386,0.5000000000000001,0.2,1
Antelope Valley,2021,11,0.5319,13.58,0.38,0.0,15.23,2.01,16.92,22.23,25.75,28.45,0.38,0.37,0.37,0.37,0.64,0.05,0.02,0.02,16.4,24.2,26.74,19.17,2.09,2.01,2.2,2.27,17.576666666666664,22.641666666666666,0.37666666666666665,0.37333333333333335,0.23,0.13166666666666668,18.61,22.73,2.0366666666666666,2.1483333333333334,0.0,-0.5000000000000004,0.8660254037844384,0.2,1
Antelope Valley,2021,12,0.5325,9.37,0.45,5.57,8.29,2.1,13.58,16.92,22.23,29.67,0.38,0.38,0.37,0.37,0.0,0.64,0.05,0.01,15.23,16.4,24.2,25.58,2.01,2.09,2.01,2.33,13.290000000000001,19.258333333333336,0.4033333333333333,0.38666666666666666,2.0700000000000003,1.0583333333333333,13.306666666666667,19.848333333333333,2.0666666666666664,2.11,46.1753,-2.4492935982947064e-16,1.0,0.2,1
Antelope Valley,2022,1,0.5338,11.92,0.6,0.08,8.62,2.3,9.37,13.58,16.92,27.7,0.45,0.38,0.38,0.37,5.57,0.0,0.64,0.07,8.29,15.23,16.4,28.23,2.1,2.01,2.09,2.25,11.623333333333333,16.628333333333334,0.47666666666666674,0.425,1.8833333333333335,1.06,10.713333333333333,16.580000000000002,2.1366666666666667,2.1183333333333336,0.6896,0.49999999999999994,0.8660254037844387,0.4,1
Antelope Valley,2022,2,0.5598,16.83,0.54,0.13,9.43,2.51,11.92,9.37,13.58,25.75,0.6,0.45,0.38,0.37,0.08,5.57,0.0,0.02,8.62,8.29,15.23,26.74,2.3,2.1,2.01,2.2,12.706666666666665,15.141666666666666,0.5300000000000001,0.4533333333333333,1.9266666666666667,1.0783333333333334,8.78,13.695,2.3033333333333332,2.17,1.2259,0.8660254037844386,0.5000000000000001,0.4,1
Antelope Valley,2022,3,0.5781,20.53,0.48,0.85,13.12,2.3,16.83,11.92,9.37,22.23,0.54,0.6,0.45,0.37,0.13,0.08,5.57,0.05,9.43,8.62,8.29,24.2,2.51,2.3,2.1,2.01,16.426666666666666,14.858333333333334,0.54,0.4716666666666667,0.35333333333333333,1.211666666666667,10.389999999999999,11.848333333333334,2.3699999999999997,2.2183333333333333,11.152,1.0,6.123233995736766e-17,0.4,1
Antelope Valley,2022,4,0.5624,25.41,0.45,0.22,15.5,2.49,20.53,16.83,11.92,16.92,0.48,0.54,0.6,0.38,0.85,0.13,0.08,0.64,13.12,9.43,8.62,16.4,2.3,2.51,2.3,2.09,20.923333333333332,16.273333333333333,0.49000000000000005,0.48333333333333334,0.4000000000000001,1.1416666666666668,12.683333333333332,11.698333333333332,2.433333333333333,2.2849999999999997,3.41,0.8660254037844387,-0.49999999999999983,0.4,1
Antelope Valley,2022,5,0.5451,28.65,0.4,0.01,18.82,2.35,25.41,20.53,16.83,13.58,0.45,0.48,0.54,0.38,0.22,0.85,0.13,0.0,15.5,13.12,9.43,15.23,2.49,2.3,2.51,2.01,24.863333333333333,18.785,0.44333333333333336,0.48666666666666664,0.36000000000000004,1.1433333333333333,15.813333333333333,12.296666666666667,2.38,2.3416666666666663,0.1882,0.49999999999999994,-0.8660254037844387,0.4,1
Antelope Valley,2022,6,0.5415,30.13,0.37,0.14,25.33,2.27,28.65,25.41,20.53,9.37,0.4,0.45,0.48,0.45,0.01,0.22,0.85,5.57,18.82,15.5,13.12,8.29,2.35,2.49,2.3,2.1,28.063333333333333,22.245,0.40666666666666673,0.47333333333333333,0.12333333333333336,0.23833333333333337,19.883333333333333,15.136666666666668,2.3699999999999997,2.3699999999999997,3.5462000000000002,1.2246467991473532e-16,-1.0,0.4,1
Antelope Valley,2022,7,0.5399,28.83,0.37,0.03,27.03,2.3,30.13,28.65,25.41,11.92,0.37,0.4,0.45,0.6,0.14,0.01,0.22,0.08,25.33,18.82,15.5,8.62,2.27,2.35,2.49,2.3,29.203333333333333,25.063333333333333,0.38000000000000006,0.43500000000000005,0.060000000000000046,0.22999999999999998,23.72666666666667,18.205000000000002,2.3066666666666666,2.3699999999999997,0.8109,-0.4999999999999998,-0.8660254037844388,0.4,1
Antelope Valley,2022,8,0.5373,25.88,0.37,0.1,28.52,2.01,28.83,30.13,28.65,16.83,0.37,0.37,0.4,0.54,0.03,0.14,0.01,0.13,27.03,25.33,18.82,9.43,2.3,2.27,2.35,2.51,28.279999999999998,26.57166666666667,0.37,0.40666666666666673,0.09000000000000004,0.225,26.959999999999997,21.386666666666667,2.1933333333333334,2.2866666666666666,2.8520000000000003,-0.8660254037844384,-0.5000000000000004,0.4,1
Antelope Valley,2022,9,0.538,21.2,0.38,0.47,25.65,1.87,25.88,28.83,30.13,20.53,0.37,0.37,0.37,0.48,0.1,0.03,0.14,0.85,28.52,27.03,25.33,13.12,2.01,2.3,2.27,2.3,25.30333333333333,26.683333333333334,0.37333333333333335,0.38999999999999996,0.20000000000000004,0.16166666666666665,27.066666666666666,23.474999999999998,2.06,2.215,12.055499999999999,-1.0,-1.8369701987210297e-16,0.4,1
Antelope Valley,2022,10,0.5366,17.02,0.37,0.15,19.93,1.54,21.2,25.88,28.83,25.41,0.38,0.37,0.37,0.45,0.47,0.1,0.03,0.22,25.65,28.52,27.03,15.5,1.87,2.01,2.3,2.49,21.366666666666664,25.285,0.37333333333333335,0.3766666666666667,0.24000000000000002,0.15,24.7,24.213333333333335,1.8066666666666666,2.0566666666666666,2.9895,-0.8660254037844386,0.5000000000000001,0.4,1
Antelope Valley,2022,11,0.5341,13.08,0.42,1.47,9.62,2.54,17.02,21.2,25.88,28.65,0.37,0.38,0.37,0.4,0.15,0.47,0.1,0.01,19.93,25.65,28.52,18.82,1.54,1.87,2.01,2.35,17.099999999999998,22.689999999999998,0.39000000000000007,0.37999999999999995,0.6966666666666667,0.3933333333333333,18.400000000000002,22.679999999999996,1.9833333333333332,2.0883333333333334,14.141399999999999,-0.5000000000000004,0.8660254037844384,0.4,1
Antelope Valley,2022,12,0.535,9.05,0.46,2.78,8.15,1.9,13.08,17.02,21.2,30.13,0.42,0.37,0.38,0.37,1.47,0.15,0.47,0.14,9.62,19.93,25.65,25.33,2.54,1.54,1.87,2.27,13.049999999999999,19.176666666666666,0.4166666666666667,0.395,1.4666666666666668,0.8333333333333334,12.566666666666668,19.816666666666666,1.9933333333333332,2.026666666666667,22.657,-2.4492935982947064e-16,1.0,0.4,1
Antelope Valley,2023,1,0.5388,10.03,0.69,5.42,6.6,2.56,9.05,13.08,17.02,28.83,0.46,0.42,0.37,0.37,2.78,1.47,0.15,0.03,8.15,9.62,19.93,27.03,1.9,2.54,1.54,2.3,10.719999999999999,16.043333333333333,0.5233333333333333,0.4483333333333333,3.223333333333333,1.7316666666666667,8.123333333333333,16.411666666666665,2.3333333333333335,2.07,35.772,0.49999999999999994,0.8660254037844387,0.6,1
Antelope Valley,2023,2,0.6015,13.93,0.71,3.91,6.84,2.57,10.03,9.05,13.08,25.88,0.69,0.46,0.42,0.37,5.42,2.78,1.47,0.1,6.6,8.15,9.62,28.52,2.56,1.9,2.54,2.01,11.003333333333332,14.051666666666668,0.62,0.505,4.036666666666667,2.3666666666666667,7.196666666666666,12.798333333333332,2.3433333333333333,2.1633333333333336,26.7444,0.8660254037844386,0.5000000000000001,0.6,1
Antelope Valley,2023,3,0.7649,16.53,0.82,4.48,8.06,2.64,13.93,10.03,9.05,21.2,0.71,0.69,0.46,0.38,3.91,5.42,2.78,0.47,6.84,6.6,8.15,25.65,2.57,2.56,1.9,1.87,13.496666666666664,13.273333333333333,0.7399999999999999,0.5783333333333333,4.603333333333334,3.035,7.166666666666667,9.866666666666667,2.59,2.2916666666666665,36.1088,1.0,6.123233995736766e-17,0.6,1
Antelope Valley,2023,4,0.8521,24.78,0.76,0.05,14.3,1.98,16.53,13.93,10.03,17.02,0.82,0.71,0.69,0.37,4.48,3.91,5.42,0.15,8.06,6.84,6.6,19.93,2.64,2.57,2.56,1.54,18.41333333333333,14.566666666666668,0.7633333333333333,0.6433333333333333,2.813333333333334,3.018333333333334,9.733333333333334,8.928333333333333,2.3966666666666665,2.3649999999999998,0.7150000000000001,0.8660254037844387,-0.49999999999999983,0.6,1
Antelope Valley,2023,5,0.725,24.04,0.61,0.48,16.13,2.36,24.78,16.53,13.93,13.08,0.76,0.82,0.71,0.42,0.05,4.48,3.91,1.47,14.3,8.06,6.84,9.62,1.98,2.64,2.57,2.54,21.78333333333333,16.393333333333334,0.73,0.6749999999999999,1.6700000000000006,2.853333333333333,12.829999999999998,10.013333333333334,2.326666666666666,2.3349999999999995,7.742399999999999,0.49999999999999994,-0.8660254037844387,0.6,1
Antelope Valley,2023,6,0.5833,25.67,0.5,0.06,18.42,2.31,24.04,24.78,16.53,9.05,0.61,0.76,0.82,0.46,0.48,0.05,4.48,2.78,16.13,14.3,8.06,8.15,2.36,1.98,2.64,1.9,24.83,19.16333333333333,0.6233333333333334,0.6816666666666666,0.19666666666666696,2.4000000000000004,16.28333333333333,11.725,2.2166666666666663,2.4033333333333333,1.1052,1.2246467991473532e-16,-1.0,0.6,1
Antelope Valley,2023,7,0.544,29.11,0.41,0.0,28.12,2.12,25.67,24.04,24.78,10.03,0.5,0.61,0.76,0.69,0.06,0.48,0.05,5.42,18.42,16.13,14.3,6.6,2.31,2.36,1.98,2.56,26.27333333333333,22.343333333333334,0.5066666666666666,0.635,0.18000000000000027,1.496666666666667,20.89,15.311666666666667,2.263333333333333,2.33,0.0,-0.4999999999999998,-0.8660254037844388,0.6,1
Antelope Valley,2023,8,0.5395,25.5,0.41,2.31,25.96,2.08,29.11,25.67,24.04,13.93,0.41,0.5,0.61,0.71,0.0,0.06,0.48,3.91,28.12,18.42,16.13,6.84,2.12,2.31,2.36,2.57,26.76,24.271666666666665,0.43999999999999995,0.585,0.7900000000000004,1.2300000000000002,24.166666666666668,18.498333333333335,2.17,2.2483333333333335,59.967600000000004,-0.8660254037844384,-0.5000000000000004,0.6,1
Antelope Valley,2023,9,0.5381,20.32,0.42,0.15,21.09,1.99,25.5,29.11,25.67,16.53,0.41,0.41,0.5,0.82,2.31,0.0,0.06,4.48,25.96,28.12,18.42,8.06,2.08,2.12,2.31,2.64,24.976666666666663,24.903333333333336,0.41333333333333333,0.5183333333333333,0.8200000000000003,0.5083333333333334,25.05666666666667,20.669999999999998,2.063333333333333,2.14,3.1635,-1.0,-1.8369701987210297e-16,0.6,1
Antelope Valley,2023,10,0.5375,17.81,0.38,0.03,19.2,1.97,20.32,25.5,29.11,24.78,0.42,0.41,0.41,0.76,0.15,2.31,0.0,0.05,21.09,25.96,28.12,14.3,1.99,2.08,2.12,1.98,21.209999999999997,23.741666666666664,0.4033333333333333,0.455,0.8300000000000004,0.5050000000000002,22.083333333333332,21.486666666666668,2.013333333333333,2.138333333333333,0.576,-0.8660254037844386,0.5000000000000001,0.6,1
Antelope Valley,2023,11,0.5351,13.08,0.38,0.37,13.28,2.15,17.81,20.32,25.5,24.04,0.38,0.42,0.41,0.61,0.03,0.15,2.31,0.48,19.2,21.09,25.96,16.13,1.97,1.99,2.08,2.36,17.069999999999997,21.915000000000003,0.3933333333333333,0.4166666666666667,0.18333333333333365,0.4866666666666668,17.856666666666666,21.011666666666667,2.0366666666666666,2.103333333333333,4.9136,-0.5000000000000004,0.8660254037844384,0.6,1
Antelope Valley,2023,12,0.536,9.55,0.41,1.7,10.65,1.92,13.08,17.81,20.32,25.67,0.38,0.38,0.42,0.5,0.37,0.03,0.15,0.06,13.28,19.2,21.09,18.42,2.15,1.97,1.99,2.31,13.479999999999999,19.22833333333333,0.38999999999999996,0.40166666666666667,0.7000000000000003,0.7600000000000001,14.376666666666665,19.71666666666667,2.013333333333333,2.0383333333333336,18.105,-2.4492935982947064e-16,1.0,0.6,1
Antelope Valley,2024,1,0.5372,10.99,0.47,1.18,8.59,2.09,9.55,13.08,17.81,29.11,0.41,0.38,0.38,0.41,1.7,0.37,0.03,0.0,10.65,13.28,19.2,28.12,1.92,2.15,1.97,2.12,11.206666666666665,16.208333333333332,0.41999999999999993,0.4116666666666666,1.0833333333333337,0.9566666666666669,10.839999999999998,16.461666666666666,2.0533333333333332,2.033333333333333,10.136199999999999,0.49999999999999994,0.8660254037844387,0.8,1
Antelope Valley,2024,2,0.591,12.59,0.69,7.21,8.84,2.06,10.99,9.55,13.08,25.5,0.47,0.41,0.38,0.41,1.18,1.7,0.37,2.31,8.59,10.65,13.28,25.96,2.09,1.92,2.15,2.08,11.043333333333331,14.056666666666665,0.5233333333333333,0.4583333333333333,3.3633333333333333,1.7733333333333334,9.359999999999998,13.608333333333334,2.0233333333333334,2.03,63.736399999999996,0.8660254037844386,0.5000000000000001,0.8,1
Antelope Valley,2024,3,0.7345,18.22,0.71,2.55,10.27,2.32,12.59,10.99,9.55,20.32,0.69,0.47,0.41,0.42,7.21,1.18,1.7,0.15,8.84,8.59,10.65,21.09,2.06,2.09,1.92,1.99,13.933333333333332,13.706666666666665,0.6233333333333332,0.5066666666666667,3.646666666666667,2.1733333333333333,9.233333333333333,11.805,2.1566666666666667,2.0849999999999995,26.188499999999998,1.0,6.123233995736766e-17,0.8,1
Antelope Valley,2024,4,0.6521,23.51,0.67,0.57,13.28,2.23,18.22,12.59,10.99,17.81,0.71,0.69,0.47,0.38,2.55,7.21,1.18,0.03,10.27,8.84,8.59,19.2,2.32,2.06,2.09,1.97,18.106666666666666,14.656666666666666,0.6900000000000001,0.5549999999999999,3.443333333333334,2.2633333333333336,10.796666666666665,10.818333333333333,2.203333333333333,2.1283333333333334,7.5695999999999986,0.8660254037844387,-0.49999999999999983,0.8,1
Antelope Valley,2024,5,0.5888,26.4,0.54,0.08,16.9,2.28,23.51,18.22,12.59,13.08,0.67,0.71,0.69,0.38,0.57,2.55,7.21,0.37,13.28,10.27,8.84,13.28,2.23,2.32,2.06,2.15,22.709999999999997,16.876666666666665,0.64,0.5816666666666667,1.0666666666666669,2.2150000000000003,13.483333333333329,11.421666666666667,2.2766666666666664,2.15,1.3519999999999999,0.49999999999999994,-0.8660254037844387,0.8,1
Antelope Valley,2024,6,0.5492,29.13,0.44,0.01,23.73,2.28,26.4,23.51,18.22,9.55,0.54,0.67,0.71,0.41,0.08,0.57,2.55,1.7,16.9,13.28,10.27,10.65,2.28,2.23,2.32,1.92,26.346666666666664,20.14,0.5499999999999999,0.5866666666666667,0.22000000000000028,1.9333333333333336,17.97,13.601666666666667,2.263333333333333,2.21,0.2373,1.2246467991473532e-16,-1.0,0.8,1
Antelope Valley,2024,7,0.5411,28.68,0.38,0.02,29.71,2.07,29.13,26.4,23.51,10.99,0.44,0.54,0.67,0.47,0.01,0.08,0.57,1.18,23.73,16.9,13.28,8.59,2.28,2.28,2.23,2.09,28.069999999999997,23.088333333333335,0.45333333333333337,0.5716666666666667,0.036666666666666965,1.7400000000000002,23.446666666666662,17.121666666666666,2.2099999999999995,2.2066666666666666,0.5942000000000001,-0.4999999999999998,-0.8660254037844388,0.8,1
